
============================================================
处理日期: 2021-12-18
============================================================
N=3988, K=200
使用 xi 向量过滤，可访问的点数: 162/3988
日志文件: output/travel_dist_dual_values_by_date/log_p200_20211218.txt
结果已保存到: output/travel_dist_dual_values_by_date/travel_dist_dual_values_p200_20211218.csv

[最后200任务] Region:10, Point:1111, 进度:19687/19800
[最后200任务] Region:10, Point:1089, 进度:19688/19800
[最后200任务] Region:10, Point:515, 进度:19689/19800
[最后200任务] Region:10, Point:80, 进度:19690/19800
[最后200任务] Region:10, Point:300, 进度:19691/19800
[最后200任务] Region:10, Point:1085, 进度:19692/19800
[最后200任务] Region:10, Point:2533, 进度:19693/19800
[最后200任务] Region:10, Point:339, 进度:19694/19800
[最后200任务] Region:10, Point:1387, 进度:19695/19800
[最后200任务] Region:10, Point:1091, 进度:19696/19800
[最后200任务] Region:10, Point:1086, 进度:19697/19800
[最后200任务] Region:10, Point:362, 进度:19698/19800
[最后200任务] Region:10, Point:121, 进度:19699/19800
[最后200任务] Region:10, Point:191, 进度:19700/19800
进度: 99.4949% (19700/19800) [Region:10, Point:191] 已用: 0.4s, 剩余: 0.0s
[最后200任务] Region:10, Point:344, 进度:19701/19800
[最后200任务] Region:11, Point:3002, 进度:19702/19800
[最后200任务] Region:11, Point:3890, 进度:19703/19800
[最后200任务] Region:11, Point:2662, 进度:19704/19800
[最后200任务] Region:11, Point:3638, 进度:19705/19800
[最后200任务] Region:11, Point:3398, 进度:19706/19800
[最后200任务] Region:11, Point:2639, 进度:19707/19800
[最后200任务] Region:11, Point:2256, 进度:19708/19800
[最后200任务] Region:11, Point:2548, 进度:19709/19800
[最后200任务] Region:11, Point:2410, 进度:19710/19800
[最后200任务] Region:11, Point:2251, 进度:19711/19800
[最后200任务] Region:11, Point:3011, 进度:19712/19800
[最后200任务] Region:11, Point:2640, 进度:19713/19800
[最后200任务] Region:11, Point:3209, 进度:19714/19800
[最后200任务] Region:11, Point:3282, 进度:19715/19800
[最后200任务] Region:11, Point:2608, 进度:19716/19800
[最后200任务] Region:11, Point:3213, 进度:19717/19800
[最后200任务] Region:11, Point:2650, 进度:19718/19800
[最后200任务] Region:11, Point:3326, 进度:19719/19800
[最后200任务] Region:11, Point:3720, 进度:19720/19800
[最后200任务] Region:11, Point:3228, 进度:19721/19800
[最后200任务] Region:11, Point:2820, 进度:19722/19800
[最后200任务] Region:11, Point:2736, 进度:19723/19800
[最后200任务] Region:11, Point:2710, 进度:19724/19800
[最后200任务] Region:11, Point:2568, 进度:19725/19800
[最后200任务] Region:11, Point:2711, 进度:19726/19800
[最后200任务] Region:11, Point:3449, 进度:19727/19800
[最后200任务] Region:11, Point:3352, 进度:19728/19800
[最后200任务] Region:11, Point:2723, 进度:19729/19800
[最后200任务] Region:11, Point:3956, 进度:19730/19800
[最后200任务] Region:11, Point:3950, 进度:19731/19800
