
============================================================
处理日期: 2023-05-02
============================================================
N=3988, K=200
使用 xi 向量过滤，可访问的点数: 965/3988
日志文件: output/travel_dist_dual_values_by_date/log_p200_20230502.txt
结果已保存到: output/travel_dist_dual_values_by_date/travel_dist_dual_values_p200_20230502.csv
进度: 99.4949% (19700/19800) [Region:158, Point:1440] 已用: 6.8s, 剩余: 0.0s
[最后200任务] Region:158, Point:2797, 进度:19701/19800
[最后200任务] Region:158, Point:2241, 进度:19702/19800
[最后200任务] Region:158, Point:2133, 进度:19703/19800
[最后200任务] Region:158, Point:3198, 进度:19704/19800
[最后200任务] Region:158, Point:3426, 进度:19705/19800
[最后200任务] Region:158, Point:1469, 进度:19706/19800
[最后200任务] Region:158, Point:3421, 进度:19707/19800
[最后200任务] Region:158, Point:2973, 进度:19708/19800
[最后200任务] Region:158, Point:3796, 进度:19709/19800
[最后200任务] Region:158, Point:1641, 进度:19710/19800
[最后200任务] Region:158, Point:2180, 进度:19711/19800
[最后200任务] Region:158, Point:2579, 进度:19712/19800
[最后200任务] Region:158, Point:1422, 进度:19713/19800
[最后200任务] Region:158, Point:3842, 进度:19714/19800
[最后200任务] Region:158, Point:1638, 进度:19715/19800
[最后200任务] Region:158, Point:2567, 进度:19716/19800
[最后200任务] Region:158, Point:3600, 进度:19717/19800
[最后200任务] Region:158, Point:2887, 进度:19718/19800
[最后200任务] Region:158, Point:3972, 进度:19719/19800
[最后200任务] Region:158, Point:3353, 进度:19720/19800
[最后200任务] Region:158, Point:2625, 进度:19721/19800
[最后200任务] Region:158, Point:2671, 进度:19722/19800
[最后200任务] Region:158, Point:2696, 进度:19723/19800
[最后200任务] Region:158, Point:3591, 进度:19724/19800
[最后200任务] Region:158, Point:1617, 进度:19725/19800
[最后200任务] Region:158, Point:2034, 进度:19726/19800
[最后200任务] Region:158, Point:1598, 进度:19727/19800
[最后200任务] Region:158, Point:2658, 进度:19728/19800
[最后200任务] Region:158, Point:3403, 进度:19729/19800
[最后200任务] Region:158, Point:1821, 进度:19730/19800
[最后200任务] Region:158, Point:2310, 进度:19731/19800
